Water Depth [ft],Factor
13.6155,0.8994
13.6483,0.9002
13.6811,0.901
13.7139,0.9018
13.7467,0.9027
13.7795,0.9035
13.8123,0.9043
13.8451,0.9051
13.878,0.9059
13.9108,0.9067
13.9436,0.9076
13.9764,0.9084
14.0092,0.9092
14.042,0.91
14.0748,0.9108
14.1076,0.9116
14.1404,0.9125
14.1732,0.9133
14.206,0.9141
14.2388,0.9149
14.2717,0.9157
14.3045,0.9165
14.3373,0.9173
14.3701,0.9182
14.4029,0.919
14.4357,0.9198
14.4685,0.9206
14.5013,0.9214
14.5341,0.9222
14.5669,0.9231
14.5997,0.9239
14.6325,0.9247
14.6654,0.9255
14.6982,0.9263
14.731,0.9271
14.7638,0.928
14.7966,0.9288
14.8294,0.9296
14.8622,0.9304
14.895,0.9312
14.9278,0.932
14.9606,0.9329
14.9934,0.9337
15.0262,0.9345
15.0591,0.9353
15.0919,0.9361
15.1247,0.9369
15.1575,0.9377
15.1903,0.9386
15.2231,0.9394
15.2559,0.9402
15.2887,0.941
15.3215,0.9418
15.3543,0.9426
15.3871,0.9435
15.4199,0.9443
15.4528,0.9451
15.4856,0.9459
15.5184,0.9467
15.5512,0.9475
15.584,0.9484
15.6168,0.9492
15.6496,0.95
15.6824,0.9508
15.7152,0.9516
15.748,0.9524
15.7808,0.9532
15.8136,0.9541
15.8465,0.9549
15.8793,0.9557
15.9121,0.9565
15.9449,0.9573
15.9777,0.9581
16.0105,0.959
16.0433,0.9598
16.0761,0.9606
16.1089,0.9614
16.1417,0.9622
16.1745,0.963
16.2073,0.9639
16.2402,0.9647
16.273,0.9655
16.3058,0.9663
16.3386,0.9671
16.3714,0.9679
16.4042,0.9688
16.437,0.9691
16.4698,0.9694
16.5026,0.9697
16.5354,0.97
16.5682,0.9703
16.601,0.9706
16.6339,0.9709
16.6667,0.9713
16.6995,0.9716
16.7323,0.9719
16.7651,0.9722
16.7979,0.9725
16.8307,0.9728
16.8635,0.9731
16.8963,0.9734
16.9291,0.9738
16.9619,0.9741
16.9948,0.9744
17.0276,0.9747
17.0604,0.975
17.0932,0.9753
17.126,0.9756
17.1588,0.9759
17.1916,0.9763
17.2244,0.9766
17.2572,0.9769
17.29,0.9772
17.3228,0.9775
17.3556,0.9778
17.3885,0.9781
17.4213,0.9784
17.4541,0.9788
17.4869,0.9791
17.5197,0.9794
17.5525,0.9797
17.5853,0.98
17.6181,0.9803
17.6509,0.9806
17.6837,0.9809
17.7165,0.9813
17.7493,0.9816
17.7822,0.9819
17.815,0.9822
17.8478,0.9825
17.8806,0.9828
17.9134,0.9831
17.9462,0.9834
17.979,0.9838
18.0118,0.9841
18.0446,0.9844
18.0774,0.9847
18.1102,0.985
18.143,0.9853
18.1759,0.9856
18.2087,0.9859
18.2415,0.9862
18.2743,0.9866
18.3071,0.9869
18.3399,0.9872
18.3727,0.9875
18.4055,0.9878
18.4383,0.9881
18.4711,0.9884
18.5039,0.9887
18.5367,0.9891
18.5696,0.9894
18.6024,0.9897
18.6352,0.99
18.668,0.9903
18.7008,0.9906
18.7336,0.9909
18.7664,0.9912
18.7992,0.9916
18.832,0.9919
18.8648,0.9922
18.8976,0.9925
18.9304,0.9928
18.9633,0.9931
18.9961,0.9934
19.0289,0.9937
19.0617,0.9941
19.0945,0.9944
19.1273,0.9947
19.1601,0.995
19.1929,0.9953
19.2257,0.9956
19.2585,0.9959
19.2913,0.9962
19.3241,0.9966
19.357,0.9969
19.3898,0.9972
19.4226,0.9975
19.4554,0.9978
19.4882,0.9981
19.521,0.9984
19.5538,0.9987
19.5866,0.9991
19.6194,0.9994
19.6522,0.9997
19.685,10
197.178,10
197.507,10
197.835,10
198.163,10
198.491,10
198.819,10
199.147,10
199.475,10
199.803,10
200.131,10
200.459,10
200.787,10
201.115,10
201.444,10
201.772,10
20.21,1
202.428,10
202.756,10
203.084,10
203.412,10
20.374,10
204.068,10
204.396,10
204.724,10
205.052,10
205.381,10
205.709,10
206.037,10
206.365,10
206.693,10
207.021,10
207.349,10
207.677,10
208.005,10
208.333,10
208.661,10
20.899,10
209.318,10
209.646,10
209.974,10
210.302,10
21.063,10
210.958,10
211.286,10
211.614,10
211.942,10
21.227,10
212.598,10
212.927,10
213.255,10
213.583,10
213.911,10
214.239,10
214.567,10
214.895,10
215.223,10
215.551,10
215.879,10
216.207,10
216.535,10
216.864,10
217.192,10
21.752,10
217.848,10
218.176,10
218.504,10
218.832,10
21.916,10
219.488,10
219.816,10
220.144,10
220.472,10
220.801,10
221.129,10
221.457,10
221.785,10
222.113,10
222.441,10
222.769,10
223.097,10
223.425,10
223.753,10
224.081,10
224.409,10
224.738,10
225.066,10
225.394,10
225.722,10
22.605,10
226.378,10
226.706,10
227.034,10
227.362,10
22.769,10
228.018,10
228.346,10
228.675,10
229.003,10
229.331,10
229.659,10
229.987,10
230.315,10
230.643,10
230.971,10
231.299,10
231.627,10
231.955,10
232.283,10
232.612,10
23.294,10
233.268,10
233.596,10
233.924,10
234.252,10
23.458,10
234.908,10
235.236,10
235.564,10
235.892,10
23.622,10
236.549,10
236.877,10
237.205,10
237.533,10
237.861,10
238.189,10
238.517,10
238.845,10
239.173,10
239.501,10
239.829,10
240.157,10
240.486,10
240.814,10
241.142,10
24.147,10
241.798,10
242.126,10
242.454,10
242.782,10
24.311,10
243.438,10
243.766,10
244.094,10
244.423,10
244.751,10
245.079,10
245.407,10
245.735,10
246.063,10
246.391,10
246.719,10
247.047,10
247.375,10
247.703,10
248.031,10
24.836,10
248.688,10
249.016,10
249.344,10
249.672,10
25,1
250.328,10
250.656,10
250.984,10
251.312,10
25.164,10
251.969,10
252.297,10
252.625,10
252.953,10
253.281,10
253.609,10
253.937,10
254.265,10
254.593,10
254.921,10
255.249,10
255.577,10
255.906,10
256.234,10
256.562,10
25.689,10
257.218,10
257.546,10
257.874,10
258.202,10
25.853,10
258.858,10
259.186,10
259.514,10
259.843,10
260.171,10
260.499,10
260.827,10
261.155,10
261.483,10
261.811,10
262.139,10
262.467,10
262.795,10
263.123,10
263.451,10
26.378,10
264.108,10
264.436,10
264.764,10
265.092,10
26.542,10
265.748,10
266.076,10
266.404,10
266.732,10
26.706,10
267.388,10
267.717,10
268.045,10
268.373,10
268.701,10
269.029,10
269.357,10
269.685,10
270.013,10
270.341,10
270.669,10
270.997,10
271.325,10
271.654,10
271.982,10
27.231,10
272.638,10
272.966,10
273.294,10
273.622,10
27.395,10
274.278,10
274.606,10
274.934,10
275.262,10
275.591,10
275.919,10
276.247,10
276.575,10
276.903,10
277.231,10
277.559,10
277.887,10
278.215,10
278.543,10
278.871,10
279.199,10
279.528,10
279.856,10
280.184,10
280.512,10
28.084,10
281.168,10
281.496,10
281.824,10
282.152,10
28.248,10
282.808,10
283.136,10
283.465,10
283.793,10
284.121,10
284.449,10
284.777,10
285.105,10
285.433,10
285.761,10
286.089,10
286.417,10
286.745,10
287.073,10
287.402,10
28.773,10
288.058,10
288.386,10
288.714,10
289.042,10
28.937,10
289.698,10
290.026,10
290.354,10
290.682,10
29.101,10
291.339,10
291.667,10
291.995,10
292.323,10
292.651,10
292.979,10
293.307,10
293.635,10
293.963,10
294.291,10
294.619,10
294.948,10
295.276,10
295.604,10
295.932,10
29.626,10
296.588,10
296.916,10
297.244,10
297.572,10
29.79,1
298.228,10
298.556,10
298.885,10
299.213,10
299.541,10
299.869,10
300.197,10
300.525,10
300.853,10
301.181,10
301.509,10
301.837,10
302.165,10
302.493,10
302.822,10
30.315,10
303.478,10
303.806,10
304.134,10
304.462,10
30.479,10
305.118,10
305.446,10
305.774,10
306.102,10
30.643,10
306.759,10
307.087,10
307.415,10
307.743,10
308.071,10
308.399,10
308.727,10
309.055,10
309.383,10
309.711,10
310.039,10
310.367,10
310.696,10
311.024,10
311.352,10
31.168,10
312.008,10
312.336,10
312.664,10
312.992,10
31.332,10
313.648,10
313.976,10
314.304,10
314.633,10
314.961,10
315.289,10
315.617,10
315.945,10
316.273,10
316.601,10
316.929,10
317.257,10
317.585,10
317.913,10
318.241,10
31.857,10
318.898,10
319.226,10
319.554,10
319.882,10
32.021,10
320.538,10
320.866,10
321.194,10
321.522,10
32.185,10
322.178,10
322.507,10
322.835,10
323.163,10
323.491,10
323.819,10
324.147,10
324.475,10
324.803,10
325.131,10
325.459,10
325.787,10
326.115,10
326.444,10
326.772,10
32.71,1
327.428,10
327.756,10
328.084,10
